# Syntax Of Redoc

## Overview

Redoc is a markup language, all special things are in `[]`.

##
abstract class                          抽象类
access                                  访问
access check                            访问检查
access control                          访问控制
access specifier                        访问说明符
acquire                                 获取
active member                           活跃成员
addition operator                       加法运算符
additive operator                       加性运算符
address                                 地址
address-of operator                     取地址运算符
aggregate                               聚合，聚合对象
aggregate initialization                聚合初始化
aggregate type                          聚合类型
algorithm                               算法
alias                                   别名
alias declaration                       别名声明
alias template                          别名模板
alignment                               对齐
alignment requirement                   对齐要求
allocate                                分配
allocation function                     分配函数
alternative token                       代用记号
ambiguity                               歧义
amortized constant                      摊销常量
and operator                            与运算符
apply                                   运用，实施，适用于
architecture                            体系结构
argument                                实参，实际参数
argument-dependent name lookup          依赖于实参的名字查找
arithmetic                              算术的
arithmetic exception                    算术异常
arithmetic type                         算术类型
array                                   数组
array element                           数组元素
array declarator                        函数声明符
array of N T                            T 的 N 元素数组
array of unknown bound of T             T 的边界未知数组
array-to-pointer conversion             数组向指针转换
arrow operator                          箭头运算符
asm definition                          asm 定义式
assembler                               汇编器，汇编
assertion                               断言
assignment                              赋值
assignment expression                   赋值表达式
assignment operator                     赋值运算符
associated class                        关联类
associated namespace                    关联命名空间
atomic                                  原子性
attach to module                        附属于模块
attribute                               特性标注，特性
attribute declaration                   特性标注声明
automatic storage duration              自动存储期
await-expression                        等待表达式
awaitable                               可等待体
base characteristic                     基础特征
basic character set                     基本字符集
basic source character set              基本源字符集
basic execution character set           基本执行字符集
behavior                                行为
binary                                  二进制，二元
binary fold                             二元折叠
binary left fold                        二元左折叠
binary operator                         二元运算符
binary right fold                       二元右折叠
bit                                     位
bit-field                               位字段
bitwise and operator                    按位与运算符
bitwise negation operator               按位反运算符
bitwise or operator                     按位或运算符
bitwise xor operator                    按位亦或运算符
block                                   代码块，阻塞
block declaration                       块声明式
block scope                             块作用域
block statement                         块语句
boolean                                 布尔
boolean conversion                      布尔转换
break statement                         break 语句
built-in operator                       内建运算符
byte                                    字节
cache                                   高速缓存
call                                    调用
capture                                 捕获
capture by copy                         复制捕获
captured by reference                   引用捕获
carry a dependency to                   传递依赖给
case label                              case 标号
cast                                    强制转换，类型强制转换
cast away constness                     强制移除常量性
catch                                   捕获
character                               字符
character set                           字符集
class                                   类
class declaration                       类声明式
class definition                        类定义式
class granding friendship               授予友元关系
class member                            类成员
class member access expression          类成员访问表达式
class member access operator            类成员访问运算符
class scope                             类作用域
class specifier                         类说明符
class template                          类模板
class templat deduction                 类模板推断
clause                                  子句
closure object                          闭包对象
closure type                            闭包类型
comma expression                        逗号表达式
comma operator                          逗号运算符
comment                                 注释
common initial sequence                 共同起始序列
common type                             公共类型
compile                                 编译
complete object                         完整对象
complete type                           完整类型
compliance                              遵从性
composite pointer type                  组合指针类型
compound assignment expression          复合赋值表达式
compound assignment operator            复合赋值运算符
compound statement                      复合语句
compound type                           复合类型
concept                                 概念
concurrent                              并发的
concurrency                             并发性
conditional expression                  条件表达式
conditional operator                    条件运算符
conditionally-supported                 有条件支持的
conflict                                冲突
conjunction                             合取
const safety                            const 安全性
const cast                              const 强制转换
constant                                常量
constant expression                     常量表达式
constant initializer                    常量初始化式
constexpr constructor                   constexpr 构造函数
constexpr function                      constexpr 函数
constexpr if statement                  constexpr if 语句
constexpr specifier                     constexpr 说明符
constituent expression                  成分表达式
constness                               常量性
construct                               语言构造
constructor                             构造函数
consume                                 消费
container                               容器
context                                 语境，上下文
contextually converted to bool          按语境转换为 bool
continue statement                      continue 语句
contravariant                           逆变
conversion                              类型转换，转换
conversion function                     转换函数
conversion rank                         转换等级
converted constant expression           经转换的常量表达式
converting constructor                  转换构造函数
copy                                    复制，副本
copy assignment operator                复制赋值运算符
copy constructor                        复制构造函数
copy-initialization                     复制初始化
core constant expression                核心常量表达式
covariant                               协变
create                                  创建
cv-decomposition                        cv 分解
cv-qualification                        cv 限定性
cv-qualification signature              cv 限定性签名
cv-qualifier                            cv 限定符
data                                    数据
data member                             数据成员
data race                               数据竞争
deallocate                              回收
deallocation function                   回收函数
declare                                 声明
declaration                             声明式，声明
declaration statement                   声明语句
declarative region                      声明区
declarator                              声明符
decltype specifier                      decltype 说明符
decode                                  解码
decrement operator                      减量运算符
deduce                                  推断
deduction guide                         推断指导
default argument                        默认实参
default argument promotion              默认实参提升
default constructor                     默认构造函数
default-initialization                  默认初始化
default label                           default 标号
default member initializer              默认成员初始化式
defaulted                               预置的，默认的，缺省的
defaulted function                      预置函数
define                                  定义
definition                              定义式，定义
delegating constructor                  委派构造函数
delete                                  删除
delete expression                       delete 表达式
delete operator                         delete 运算符
deleted                                 已删除的，弃置的
deleted definition                      弃置定义式
deleted function                        弃置函数
dependency-ordered before               按依赖序早于
dependent name                          待决名字
derived class                           派生类
destroy                                 销毁
destruction                             销毁
destructor                              析构函数
device                                  设备
diagnosable rule                        可诊断规则
diagnostic message                      诊断消息
digraph                                 二连符
direct base class                       直接基类
direct-initialization                   直接初始化
direct-list-initialization              直接列表初始化
directive                               指令
disambiguation                          歧义消解
discarded-value expression              弃值表达式
discarded statement                     弃用语句
disjunction                             析取
division operator                       除法运算符
do statement                            do 语句
dot operator                            点运算符
dynamic                                 动态
dynamic cast                            动态强制转换
dynamic initialization                  动态初始化
dynamic storage duration                动态存储期
elaborated type specifier               详述类型说明符
element                                 元素
empty declaration                       空声明
empty statement                         空语句
encode                                  编码
entity                                  实体
enclosing class                         外围类
enclosing namespace                     外围命名空间
enclosing scope                         外围作用域
enumeration                             枚举
enumeration scope                       枚举作用域
enumeration specifier                   枚举说明符
enumeration type                        枚举类型
enumerator                              枚举符
equality                                相等
equality operator                       相等运算符
equivalence                             等价
error                                   错误，误差
escape character                        转义字符
escape sequence                         转义序列
export declaration                      导出声明式
exported declaration                    被导出声明式
extended integer type                   扩充整数类型
extended signed integer type            扩充有符号整数类型
extended unsigned integer type          扩充无符号整数类型
extern specifier                        extern 说明符
evaluation                              求值
exception                               异常
exception handler                       异常处理器
exception specification                 异常说明
execute                                 执行，运行
execution agent                         执行代理
execution character set                 执行字符集
execution step                          执行步骤
explicit                                显式，明确
explicit instantiation declaration      显式实例化生命式
explicit specialization                 显式特化式
explicit specifier                      explicit 说明符
explicit type conversion                显式类型转换
explicitly captured                     显式捕获
explicitly defaulted function           显式预置的函数
exponent                                指数
expression                              表达式
extend namespace                        扩展命名空间
extended alignment                      扩充对齐
extended character set                  扩展字符集
extended source character set           扩展源字符集
extended execution character set        扩展执行字符集
extension                               扩展
external linkage                        外部连接
facet                                   刻面
failure                                 失败，故障
fallthrough statement                   直落语句
fault                                   故障，错误
feature                                 功能特性，特性
fence                                   栅栏，内存栅栏
field                                   字段
file                                    文件
final overrider                         最终覆盖函数
floating conversion                     浮点转换
floating-integral conversion            浮点整形转换
floating-point                          浮点
floating-point promotion                浮点提升
fold expression                         折叠表达式
for statement                           for 语句
forward declaration                     前置声明式
forward progress                        向前进展，进展
fraction                                小数，分数
free store                              自由存储
freestanding implementation             自立式实现
friend                                  友元
friend function                         友元函数
friend class                            友元类
friend specifier                        friend 说明符
full-expression                         全表达式
function                                函数
function body                           函数体
function call expression                函数调用表达式
function call operator                  函数调用运算符
function declaration                    函数声明式
function declarator                     函数声明符
function definition                     函数定义式
function-like macro                     函数式宏
function object                         函数对象
noexcept function of () cv ref returning T  T 为返回类型的 () cv ref 的 noexcept 函数
function overloading                    函数重载
function parameter pack                 函数形参包组
function pointer conversion             函数指针转换
function pointer type                   函数指针类型
function prototype                      函数原型
function scope                          函数作用域
function specifier                      函数说明符
function template                       函数模板
function-to-pointer conversion          函数向指针转换
function try block                      函数 try 块
fundamental alignment                   基础对齐
fundamental type                        基础类型
generic lambda expression               泛型 lambda 表达式
global                                  全局的
global namespace                        全局命名空间
global object                           全局对象
global scope                            全局作用域
global variable                         全局对象
glvalue                                 泛左值
goto statement                          goto 语句
grammar                                 文法
greater-than operator                   大于运算符
greater-than-or-equal-to operator       大于或等于运算符
handler                                 处理器
happens after                           发生晚于
happens before                          发生早于
header                                  头文件
high-order bit                          高序位
hosted implementation                   主机式实现
identifier                              标识符
identifier label                        标识符标号
if statement                            if 语句
ill-formed                              非良构的
immediate subexpression                 直接子表达式
implementation                          实现
implementation-defined                  由实现定义的
implementation limits                   实现限额
implicit                                隐式，暗中，隐含
implicit type conversion                隐式类型转换
implicit conversion sequence            隐式转换序列
implicitly captured                     隐式捕获
implicitly declared function            隐式声明的函数
import declaration                      导入声明式
impose                                  施加
incomplete-defined object type          定义不完整的对象类型
incomplete type                         不完整类型
increment operator                      增量运算符
indeterminately sequenced               未定顺序的
indirect base class                     间接基类
indirection operator                    间接运算符
inequality operator                     不相等运算符
initialize                              初始化
initialization                          初始化
initializer                             初始化式
injected class name                     注入类名
inline function                         内联函数
inline namespace                        内联命名空间
inline specifier                        inline 说明符
inline variable                         内联变量
input                                   输入
instance                                实例
instantiate                             实例化，落实
instantiation                           实例化式，实例化
instantiation unit                      实例化单元
integer                                 整数
integer conversion rank                 整数转换等级
integer type                            整数类型
integral constant expression            整型常量表达式
integral conversion                     整形转换
integral promotion                      整形提升
integral type                           整型类型
inter-thread happens before             线程间发生早于
