AMR     Adaptive Multi Rate                 自适应多速率
CBTC    Communication Based Train Control   基于通信的列车控制
CCTV    Closed-Circuit Television           闭合电路监控系统
CPICH   Common Pilot Channel                公共导频信道 
CRC     Cyclic Redundancy Check             循环冗余校验
DHCP    Dynamic Host Configuration Protocol 动态主机配置协议
DL      Down Link                           下行链路
FL      Forward Link                        前向链路
DNS     Domain Name System                  域名系统
GRE     Generice Routing Encapsulation      通用路由封装协议
ICIC    Inter-Cell Interference Coordination小区间干扰协调技术
IMSI    International Mobile Subscriber Identity  国际移动用户识别码 
IP      Internet Protocol                    因特网协议 
IPSec   Security Architecture for IP network  IP层协议安全架构
LTE-M   Long Term Evolution-Metro            地铁长期演进系统
MIMO    Multiple Input Multiple Output       多输入多输出 
NAT     Network Address Translation         网络地址转换 
NTP     Network Time Protocol               网络时钟协议
OSPF    Open Shortest Path First            开放式最短路径优先
PIS     Passenger Information System        乘客信息系统
QoS     Quality of Service                  服务质量 
SNTP    Simple Network Time Protocol        简单网络时钟协议
TAU     Train Access Unit                   车载接入单元
VLAN    Virtual Local Area Network          虚拟局域网 
VRRP    Virtual Router Redundancy Protocol  虚拟路由冗余协议 

